rule,radius_m,flags,poly_P,poly_R,poly_F1,centroid_flags,centroid_P,centroid_R,centroid_F1
Microsoft,10,9139,0.113,0.622,0.191,9138,0.081,0.474,0.139
IMPACT,10,10787,0.104,0.627,0.178,10788,0.069,0.462,0.12
OSU,10,25882,0.068,0.865,0.126,25882,0.045,0.688,0.084
UH,10,5362,0.126,0.453,0.197,5362,0.093,0.337,0.146
LIST,10,15906,0.086,0.755,0.154,15904,0.057,0.564,0.103
UNEP,10,5604,0.117,0.436,0.185,5605,0.086,0.313,0.135
1-of-6,10,37644,0.052,0.952,0.099,37644,0.034,0.768,0.066
2-of-6,10,21059,0.084,0.902,0.153,21060,0.056,0.71,0.104
3-of-6,10,9410,0.147,0.787,0.248,9409,0.101,0.605,0.173
4-of-6,10,3348,0.259,0.58,0.358,3347,0.187,0.419,0.259
5-of-6,10,1005,0.445,0.335,0.382,1005,0.339,0.232,0.276
6-of-6,10,214,0.794,0.149,0.25,214,0.64,0.093,0.163
Microsoft,20,9139,0.167,0.708,0.27,9138,0.138,0.622,0.226
IMPACT,20,10787,0.179,0.702,0.285,10788,0.133,0.627,0.219
OSU,20,25882,0.118,0.914,0.209,25882,0.087,0.86,0.159
UH,20,5362,0.182,0.502,0.267,5362,0.148,0.437,0.221
LIST,20,15906,0.149,0.864,0.255,15904,0.111,0.766,0.194
UNEP,20,5604,0.17,0.542,0.259,5605,0.143,0.451,0.217
1-of-6,20,37644,0.093,0.982,0.17,37644,0.069,0.934,0.128
2-of-6,20,21059,0.145,0.948,0.252,21060,0.108,0.895,0.193
3-of-6,20,9410,0.237,0.862,0.372,9409,0.184,0.787,0.298
4-of-6,20,3348,0.374,0.667,0.479,3347,0.311,0.579,0.405
5-of-6,20,1005,0.576,0.407,0.477,1005,0.503,0.329,0.398
6-of-6,20,214,0.939,0.188,0.313,214,0.85,0.147,0.251
Microsoft,30,9139,0.21,0.781,0.331,9138,0.184,0.708,0.292
IMPACT,30,10787,0.252,0.77,0.379,10788,0.205,0.712,0.318
OSU,30,25882,0.17,0.935,0.288,25882,0.137,0.913,0.239
UH,30,5362,0.225,0.562,0.321,5362,0.197,0.506,0.284
LIST,30,15906,0.211,0.909,0.342,15904,0.172,0.861,0.286
UNEP,30,5604,0.211,0.633,0.316,5605,0.188,0.562,0.281
1-of-6,30,37644,0.135,0.986,0.237,37644,0.109,0.973,0.195
2-of-6,30,21059,0.205,0.964,0.338,21060,0.167,0.943,0.284
3-of-6,30,9410,0.319,0.893,0.47,9409,0.267,0.856,0.407
4-of-6,30,3348,0.455,0.734,0.562,3347,0.405,0.665,0.504
5-of-6,30,1005,0.64,0.47,0.542,1005,0.6,0.41,0.487
6-of-6,30,214,0.977,0.222,0.362,214,0.967,0.184,0.309
