thresh,n_flag,precision,recall,f1
0.02,12937,0.094,0.659,0.164
0.05,10853,0.102,0.621,0.175
0.08,9491,0.108,0.591,0.183
0.11,8487,0.115,0.562,0.191
0.14,7696,0.121,0.539,0.198
0.17,7027,0.126,0.515,0.202
0.2,6450,0.131,0.498,0.208
0.23,5938,0.136,0.489,0.213
0.26,5523,0.141,0.482,0.218
0.29,5113,0.144,0.451,0.218
0.32,4709,0.148,0.431,0.221
0.35,4373,0.152,0.419,0.223
0.38,4075,0.156,0.399,0.224
0.41,3753,0.161,0.381,0.226
0.44,3490,0.163,0.365,0.225
0.47,3241,0.167,0.354,0.227
0.5,2993,0.171,0.343,0.229
0.53,2764,0.172,0.324,0.225
0.56,2557,0.176,0.309,0.224
0.59,2343,0.183,0.297,0.226
0.62,2151,0.183,0.278,0.221
0.65,1985,0.181,0.258,0.213
0.68,1819,0.184,0.241,0.209
0.71,1648,0.186,0.221,0.202
0.74,1477,0.19,0.208,0.199
0.77,1350,0.189,0.189,0.189
0.8,1203,0.19,0.17,0.18
0.83,1082,0.192,0.164,0.177
0.86,975,0.19,0.147,0.166
0.89,862,0.187,0.132,0.155
0.92,752,0.177,0.119,0.142
0.95,635,0.175,0.103,0.13
