product,n_bld,n_pos,n_flags,AP_product,AP_dayzero,P_product,R_product,P_dayzero_matched,R_dayzero_matched
MS,58705,3727,7950,0.104,0.158,0.174,0.371,0.177,0.378
IMPACT,339700,3800,23490,0.048,0.146,0.083,0.512,0.108,0.667
OSU,412637,3805,32643,0.078,0.127,0.094,0.807,0.089,0.764
UH,290648,3794,56308,0.014,0.156,0.018,0.262,0.062,0.921
LIST,422932,3864,34440,0.046,0.108,0.069,0.615,0.076,0.674
UNEP,422932,3864,17937,0.02,0.108,0.054,0.251,0.109,0.505
