product,n_bld,n_pos,n_flags,AP_product,AP_dayzero,P_product,R_product,P_dayzero_matched,R_dayzero_matched
MS,58705,2064,7950,0.075,0.089,0.121,0.465,0.1,0.384
IMPACT,339700,2101,23490,0.029,0.083,0.048,0.537,0.063,0.701
OSU,412637,2100,32643,0.046,0.069,0.054,0.839,0.051,0.788
UH,290648,2099,56308,0.009,0.087,0.012,0.327,0.035,0.946
LIST,422932,2129,34440,0.027,0.061,0.04,0.64,0.043,0.699
UNEP,422932,2129,17937,0.015,0.061,0.037,0.31,0.062,0.52
