product,area,cells,n_cems,flag_pct,moran_I,p
MS,Caraballeda,140,1467,15.7,0.54,0.001
MS,ALL,140,1467,15.7,0.54,0.001
IMPACT,Caraballeda,187,1468,17.8,0.263,0.001
IMPACT,Caracas,178,3,8.5,0.279,0.001
IMPACT,Moron,49,26,6.7,0.0,0.999
IMPACT,San Felipe,71,0,1.8,0.048,0.589
IMPACT,Santa Cruz,258,3,1.2,0.049,0.199
IMPACT,ALL,743,1500,6.9,0.432,0.001
OSU,Caraballeda,187,1468,42.6,0.373,0.001
OSU,Caracas,178,3,2.5,0.301,0.001
OSU,San Felipe,316,14,1.1,0.398,0.001
OSU,Santa Cruz,251,3,0.9,0.041,0.282
OSU,ALL,957,1488,7.9,0.493,0.001
UH,Caraballeda,134,1467,9.4,0.527,0.001
UH,Caracas,145,3,17.7,0.374,0.001
UH,Moron,49,26,1.9,0.086,0.429
UH,Santa Cruz,198,3,27.5,0.328,0.001
UH,ALL,526,1499,19.3,0.401,0.001
