h3,base,pdmg,cems,lisa,product
886741255dfffff,944,4,0.0,ns,OSU
8867412561fffff,842,32,0.0,ns,OSU
8867412563fffff,1275,7,0.0,ns,OSU
8867412565fffff,724,8,0.0,ns,OSU
8867412567fffff,1585,22,0.0,ns,OSU
8867412569fffff,1509,71,0.0,ns,OSU
886741256bfffff,560,30,0.0,ns,OSU
886741256dfffff,1342,30,0.0,ns,OSU
88674125a1fffff,1080,3,0.0,ns,OSU
88674125a3fffff,130,1,0.0,ns,OSU
88674125a5fffff,116,2,0.0,ns,OSU
88674125a7fffff,837,1,0.0,ns,OSU
88674125a9fffff,318,0,0.0,ns,OSU
88674125abfffff,123,0,0.0,ns,OSU
88674125adfffff,628,1,0.0,ns,OSU
88674125b1fffff,27,0,0.0,ns,OSU
88674125b5fffff,89,0,0.0,ns,OSU
88674125b7fffff,22,0,0.0,ns,OSU
88674125bdfffff,20,0,0.0,ns,OSU
88674125c5fffff,210,0,0.0,ns,OSU
88674125cdfffff,22,0,0.0,ns,OSU
88674125e1fffff,491,0,0.0,ns,OSU
88674125e5fffff,683,0,0.0,ns,OSU
88674125e7fffff,380,12,0.0,ns,OSU
88674125e9fffff,521,0,0.0,ns,OSU
88674125ebfffff,8,0,0.0,ns,OSU
88674125edfffff,404,0,0.0,ns,OSU
8867412731fffff,43,0,0.0,ns,OSU
8867412733fffff,256,0,0.0,ns,OSU
8867412735fffff,18,2,0.0,ns,OSU
8867412737fffff,1087,46,0.0,ns,OSU
8867412849fffff,2,0,0.0,ns,OSU
8867412a01fffff,519,26,2.0,ns,OSU
8867412a05fffff,442,11,0.0,ns,OSU
8867412a07fffff,53,0,0.0,ns,OSU
8867412a09fffff,1901,219,6.0,LH,OSU
8867412a0bfffff,44,0,0.0,ns,OSU
8867412a0dfffff,1074,62,0.0,ns,OSU
8867412a15fffff,358,0,0.0,ns,OSU
8867412a19fffff,37,11,0.0,ns,OSU
8867412a1dfffff,210,0,1.0,ns,OSU
8867412a21fffff,15,4,0.0,ns,OSU
8867412a23fffff,371,7,0.0,ns,OSU
8867412a27fffff,29,1,0.0,ns,OSU
8867412a29fffff,32,0,0.0,LH,OSU
8867412a2bfffff,425,26,0.0,ns,OSU
8867412a31fffff,1,0,0.0,ns,OSU
8867412a3bfffff,1,0,0.0,ns,OSU
8867412a3dfffff,398,0,0.0,ns,OSU
8867412a43fffff,681,227,2.0,ns,OSU
8867412a47fffff,91,32,0.0,ns,OSU
8867412a51fffff,52,0,0.0,LH,OSU
8867412a53fffff,1,1,0.0,ns,OSU
8867412a55fffff,1459,396,2.0,ns,OSU
8867412a57fffff,581,14,0.0,ns,OSU
8867412a59fffff,482,259,8.0,HH,OSU
8867412a5bfffff,300,101,1.0,HH,OSU
8867412a5dfffff,177,34,4.0,HH,OSU
8867412a63fffff,449,158,0.0,ns,OSU
8867412a67fffff,25,18,1.0,HH,OSU
8867412a6bfffff,6,2,0.0,HH,OSU
8867412c11fffff,73,0,0.0,ns,OSU
8867412c13fffff,66,0,0.0,ns,OSU
8867412c19fffff,306,9,0.0,ns,OSU
8867412c1bfffff,181,0,0.0,ns,OSU
8867412c1dfffff,1,0,0.0,ns,OSU
8867412c53fffff,122,7,0.0,ns,OSU
8867412c57fffff,9,0,0.0,ns,OSU
8867412c5bfffff,132,0,0.0,ns,OSU
8867412cc9fffff,323,14,0.0,ns,OSU
8867412ccbfffff,91,4,0.0,ns,OSU
8867412ccdfffff,473,4,0.0,ns,OSU
8867412e0bfffff,8,0,0.0,ns,OSU
8867412e11fffff,1,0,0.0,ns,OSU
8867412e13fffff,599,0,0.0,ns,OSU
8867412e19fffff,842,0,0.0,ns,OSU
8867412e1bfffff,973,145,0.0,ns,OSU
8867412e1dfffff,607,18,0.0,ns,OSU
8867412e41fffff,4,0,0.0,LH,OSU
8867412e43fffff,605,104,0.0,ns,OSU
8867412e49fffff,562,30,0.0,HH,OSU
8867412e4bfffff,888,273,0.0,ns,OSU
8867412e51fffff,907,9,0.0,ns,OSU
8867412e53fffff,1783,18,0.0,ns,OSU
8867412e55fffff,311,20,0.0,ns,OSU
8867412e57fffff,1457,7,0.0,ns,OSU
8867412e59fffff,1366,3,0.0,ns,OSU
8867412e5bfffff,1093,42,0.0,ns,OSU
8867412e5dfffff,1702,8,0.0,LH,OSU
8867412e81fffff,79,3,0.0,ns,OSU
8867412e85fffff,190,1,0.0,ns,OSU
8867412e87fffff,7,0,0.0,ns,OSU
8867412e89fffff,373,17,0.0,ns,OSU
8867412e8bfffff,126,8,0.0,ns,OSU
8867412e8dfffff,419,10,0.0,ns,OSU
8867412e91fffff,73,0,0.0,ns,OSU
8867412e93fffff,44,2,0.0,ns,OSU
8867412e99fffff,207,0,0.0,ns,OSU
8867412e9bfffff,112,1,0.0,ns,OSU
8867412e9dfffff,195,0,0.0,ns,OSU
8867412ea1fffff,412,1,0.0,ns,OSU
8867412ea3fffff,720,13,0.0,ns,OSU
