h3,base,pdmg,cems,lisa,product
88674125a5fffff,113,0,0.0,ns,UH
88674125a7fffff,670,0,0.0,ns,UH
88674125a9fffff,297,0,0.0,ns,UH
88674125abfffff,5,0,0.0,ns,UH
88674125adfffff,628,85,0.0,ns,UH
88674125e1fffff,491,24,0.0,ns,UH
88674125e5fffff,683,66,0.0,ns,UH
88674125e7fffff,379,22,0.0,ns,UH
88674125e9fffff,352,0,0.0,ns,UH
88674125ebfffff,1,0,0.0,ns,UH
88674125edfffff,404,89,0.0,ns,UH
8867412733fffff,14,0,0.0,ns,UH
8867412735fffff,19,1,0.0,ns,UH
8867412737fffff,1067,0,0.0,ns,UH
8867412a01fffff,519,13,2.0,ns,UH
8867412a05fffff,443,25,0.0,ns,UH
8867412a07fffff,53,10,0.0,ns,UH
8867412a09fffff,1900,16,6.0,ns,UH
8867412a0bfffff,44,5,0.0,LL,UH
8867412a0dfffff,1074,33,0.0,ns,UH
8867412a15fffff,18,0,0.0,ns,UH
8867412a19fffff,37,2,0.0,ns,UH
8867412a1dfffff,208,0,1.0,ns,UH
8867412a23fffff,9,0,0.0,ns,UH
8867412a29fffff,32,1,0.0,ns,UH
8867412a2bfffff,411,4,0.0,ns,UH
8867412a43fffff,681,12,2.0,ns,UH
8867412a47fffff,91,10,0.0,ns,UH
8867412a51fffff,52,3,0.0,ns,UH
8867412a53fffff,1,0,0.0,ns,UH
8867412a55fffff,1459,20,2.0,ns,UH
8867412a57fffff,581,12,0.0,ns,UH
8867412a59fffff,483,12,8.0,ns,UH
8867412a5bfffff,300,9,1.0,ns,UH
8867412a5dfffff,177,3,4.0,ns,UH
8867412a63fffff,449,51,0.0,ns,UH
8867412a67fffff,25,4,1.0,ns,UH
8867412a6bfffff,6,2,0.0,ns,UH
8867412c11fffff,65,0,0.0,ns,UH
8867412c19fffff,307,37,0.0,ns,UH
8867412c1bfffff,149,15,0.0,ns,UH
8867412c1dfffff,1,0,0.0,ns,UH
8867412c53fffff,122,60,0.0,ns,UH
8867412c57fffff,9,1,0.0,ns,UH
8867412c5bfffff,133,4,0.0,ns,UH
8867412e0bfffff,8,0,0.0,ns,UH
8867412e11fffff,1,0,0.0,ns,UH
8867412e13fffff,598,42,0.0,ns,UH
8867412e19fffff,842,8,0.0,LL,UH
8867412e1bfffff,973,15,0.0,LL,UH
8867412e1dfffff,607,3,0.0,ns,UH
8867412e41fffff,4,0,0.0,ns,UH
8867412e43fffff,605,1,0.0,ns,UH
8867412e49fffff,561,100,0.0,LH,UH
8867412e4bfffff,888,34,0.0,ns,UH
8867412e51fffff,909,211,0.0,ns,UH
8867412e53fffff,1782,44,0.0,ns,UH
8867412e55fffff,312,32,0.0,ns,UH
8867412e57fffff,1457,125,0.0,ns,UH
8867412e59fffff,1364,109,0.0,ns,UH
8867412e5bfffff,1095,739,0.0,ns,UH
8867412e5dfffff,1701,27,0.0,ns,UH
8867412e81fffff,79,26,0.0,ns,UH
8867412e85fffff,190,54,0.0,ns,UH
8867412e89fffff,373,36,0.0,ns,UH
8867412e8bfffff,126,21,0.0,ns,UH
8867412e8dfffff,419,86,0.0,ns,UH
8867412e91fffff,31,4,0.0,ns,UH
8867412e99fffff,177,0,0.0,ns,UH
8867412e9bfffff,62,0,0.0,ns,UH
8867412e9dfffff,196,7,0.0,ns,UH
8867412ea1fffff,412,139,0.0,ns,UH
8867412ea3fffff,680,70,0.0,ns,UH
8867412ea5fffff,118,76,0.0,ns,UH
8867412ea7fffff,499,1,0.0,ns,UH
8867412ea9fffff,354,284,0.0,ns,UH
8867412eabfffff,218,76,0.0,ns,UH
8867412eadfffff,216,64,0.0,ns,UH
8867412eb5fffff,1,0,0.0,ns,UH
8867412ebdfffff,156,4,0.0,ns,UH
8867412ec1fffff,1006,73,0.0,ns,UH
8867412ec3fffff,149,27,0.0,ns,UH
8867412ec5fffff,1104,118,0.0,ns,UH
8867412ec7fffff,382,117,0.0,ns,UH
8867412ec9fffff,2189,414,0.0,ns,UH
8867412ecbfffff,189,67,0.0,ns,UH
8867412ecdfffff,2832,204,0.0,LL,UH
8867412ed1fffff,559,6,0.0,ns,UH
8867412ed3fffff,721,38,0.0,ns,UH
8867412ed5fffff,22,7,0.0,ns,UH
8867412ed7fffff,506,20,0.0,ns,UH
8867412ed9fffff,555,26,0.0,ns,UH
8867412edbfffff,774,26,0.0,ns,UH
8867412eddfffff,30,15,0.0,ns,UH
8867412ee1fffff,472,101,0.0,ns,UH
8867412ee3fffff,568,215,0.0,ns,UH
8867412ee5fffff,130,16,0.0,ns,UH
8867412ee7fffff,1054,146,0.0,ns,UH
8867412ee9fffff,985,152,0.0,ns,UH
8867412eebfffff,1218,215,0.0,ns,UH
8867413421fffff,54,14,10.0,ns,UH
8867413423fffff,313,99,60.0,ns,UH
8867413425fffff,79,16,9.0,ns,UH
8867413427fffff,946,171,101.0,ns,UH
8867413431fffff,640,39,34.0,ns,UH
8867413433fffff,27,0,0.0,ns,UH
8867413435fffff,454,51,57.0,ns,UH
8867413439fffff,24,8,4.0,ns,UH
886741343bfffff,164,1,3.0,ns,UH
886741343dfffff,68,16,10.0,ns,UH
8867413511fffff,207,12,25.0,ns,UH
8867413513fffff,601,0,4.0,ns,UH
8867413515fffff,32,0,0.0,ns,UH
8867413517fffff,122,2,4.0,ns,UH
8867413519fffff,2,0,0.0,ns,UH
886741351bfffff,903,191,90.0,ns,UH
8867413531fffff,735,21,17.0,ns,UH
8867413535fffff,956,57,19.0,ns,UH
8867413537fffff,244,21,0.0,ns,UH
886741353bfffff,220,28,3.0,ns,UH
886741353dfffff,20,11,7.0,ns,UH
88674135c1fffff,7,0,0.0,ns,UH
88674135c5fffff,72,0,0.0,ns,UH
88674135c9fffff,1220,40,22.0,ns,UH
88674135cbfffff,129,5,0.0,ns,UH
88674135cdfffff,946,9,8.0,ns,UH
88674135e9fffff,77,0,0.0,ns,UH
88674135edfffff,5,1,0.0,ns,UH
8867413891fffff,114,31,34.0,ns,UH
8867413893fffff,902,35,140.0,ns,UH
8867413895fffff,1,1,0.0,ns,UH
8867413897fffff,1232,217,163.0,ns,UH
886741389bfffff,300,64,44.0,ns,UH
88674138b3fffff,732,36,22.0,ns,UH
88674138b7fffff,18,7,0.0,ns,UH
88674138bbfffff,280,26,38.0,ns,UH
88674301a3fffff,187,18,0.0,ns,UH
88674301a5fffff,438,6,0.0,ns,UH
88674301abfffff,2,1,0.0,ns,UH
88674301b1fffff,20,2,0.0,ns,UH
88674301b5fffff,234,6,0.0,ns,UH
88674301b7fffff,62,1,0.0,ns,UH
88674301bdfffff,183,2,0.0,ns,UH
88674308c3fffff,18,0,0.0,ns,UH
88674308c9fffff,1,0,0.0,ns,UH
88674308cbfffff,28,1,0.0,ns,UH
88674308cdfffff,1,1,0.0,ns,UH
88674308d1fffff,20,0,0.0,ns,UH
88674308d5fffff,30,0,7.0,ns,UH
88674308d9fffff,868,4,2.0,ns,UH
88674308ddfffff,340,7,5.0,ns,UH
8867430a81fffff,32,7,0.0,ns,UH
8867430a83fffff,184,4,0.0,ns,UH
8867430a85fffff,2,0,0.0,ns,UH
8867430a91fffff,1051,11,0.0,LL,UH
8867430a93fffff,399,1,0.0,ns,UH
8867430a95fffff,373,42,2.0,LL,UH
8867430a97fffff,1078,0,0.0,ns,UH
8867430a99fffff,979,3,0.0,ns,UH
8867430a9bfffff,773,1,0.0,LL,UH
8867430a9dfffff,67,6,0.0,ns,UH
8867430ab1fffff,1332,13,2.0,LL,UH
8867430ab3fffff,1072,8,0.0,ns,UH
8867430ab5fffff,124,5,1.0,ns,UH
8867430ab7fffff,633,15,0.0,ns,UH
8867430ab9fffff,1007,9,1.0,ns,UH
8867430abbfffff,1062,18,1.0,LL,UH
8867430abdfffff,127,4,0.0,ns,UH
8867430ad3fffff,213,4,0.0,ns,UH
8867430ad5fffff,37,5,4.0,ns,UH
8867430ad7fffff,33,1,1.0,ns,UH
8867430f41fffff,262,18,0.0,ns,UH
8867430f43fffff,95,9,0.0,ns,UH
8867430f45fffff,34,8,0.0,ns,UH
8867430f47fffff,3,1,0.0,ns,UH
8867430f49fffff,108,3,0.0,ns,UH
8867430f4bfffff,143,14,0.0,ns,UH
8867430f4dfffff,53,0,0.0,ns,UH
8867430f5dfffff,5,1,0.0,ns,UH
8867430f61fffff,4,0,0.0,ns,UH
8867430f63fffff,1,1,0.0,ns,UH
8867430f65fffff,1,0,0.0,ns,UH
8867430f69fffff,13,1,0.0,ns,UH
8867430f6bfffff,22,0,0.0,ns,UH
8867430f6dfffff,155,3,0.0,ns,UH
88674c5b49fffff,4,0,0.0,ns,UH
88674c5b4dfffff,1,0,0.0,ns,UH
88674ec003fffff,4,4,0.0,HH,UH
88674ec011fffff,840,576,0.0,ns,UH
88674ec013fffff,1013,136,0.0,LH,UH
88674ec015fffff,440,218,0.0,HH,UH
88674ec017fffff,984,876,0.0,HH,UH
88674ec019fffff,330,8,0.0,ns,UH
88674ec01bfffff,871,19,0.0,ns,UH
88674ec031fffff,279,185,0.0,HH,UH
88674ec033fffff,1028,664,0.0,HH,UH
88674ec037fffff,60,55,0.0,HH,UH
88674ec039fffff,289,201,0.0,HH,UH
88674ec03bfffff,1730,944,0.0,HH,UH
88674ec085fffff,187,0,0.0,ns,UH
88674ec087fffff,25,0,0.0,ns,UH
88674ec08dfffff,59,0,0.0,ns,UH
88674ec0a1fffff,897,515,0.0,ns,UH
88674ec0a3fffff,958,444,0.0,ns,UH
88674ec0a5fffff,5,0,0.0,ns,UH
88674ec0a7fffff,47,47,0.0,HH,UH
88674ec0a9fffff,1637,649,0.0,ns,UH
88674ec0abfffff,824,49,0.0,ns,UH
88674ec0adfffff,35,5,0.0,ns,UH
88674ec0b1fffff,2,0,0.0,ns,UH
88674ec0b5fffff,832,79,0.0,ns,UH
88674ec0b7fffff,62,0,0.0,ns,UH
88674ec0bdfffff,850,0,0.0,ns,UH
88674ec0c5fffff,354,1,0.0,ns,UH
88674ec0cdfffff,197,0,0.0,ns,UH
88674ec0e1fffff,161,63,3.0,ns,UH
88674ec0e3fffff,284,45,0.0,ns,UH
88674ec0e5fffff,310,136,0.0,HH,UH
88674ec0e7fffff,79,4,0.0,ns,UH
88674ec0e9fffff,866,540,0.0,HH,UH
88674ec0ebfffff,128,14,0.0,ns,UH
88674ec0edfffff,1267,565,0.0,HH,UH
88674ec133fffff,1017,270,0.0,ns,UH
88674ec135fffff,319,58,0.0,ns,UH
88674ec137fffff,1482,284,0.0,LH,UH
88674ec181fffff,75,16,0.0,ns,UH
88674ec183fffff,864,17,0.0,ns,UH
88674ec185fffff,86,32,0.0,ns,UH
88674ec187fffff,21,4,0.0,ns,UH
88674ec189fffff,2,0,0.0,ns,UH
