h3,base,pdmg,cems,lisa,product
8867412009fffff,1327,261,0.0,ns,LIST
886741200dfffff,110,3,0.0,LH,LIST
8867412041fffff,418,181,0.0,HH,LIST
8867412043fffff,2014,321,2.0,HH,LIST
8867412045fffff,660,156,11.0,HH,LIST
8867412047fffff,1378,224,1.0,HH,LIST
8867412049fffff,6,0,0.0,LH,LIST
886741204bfffff,246,86,0.0,HH,LIST
8867412051fffff,3,0,0.0,ns,LIST
8867412055fffff,114,6,0.0,LH,LIST
8867412059fffff,543,66,3.0,ns,LIST
886741205bfffff,1,0,0.0,ns,LIST
886741205dfffff,1203,163,0.0,HH,LIST
8867412061fffff,2060,148,2.0,LH,LIST
8867412065fffff,593,74,1.0,ns,LIST
8867412067fffff,344,16,0.0,ns,LIST
8867412069fffff,780,255,2.0,ns,LIST
886741206bfffff,1142,124,2.0,HH,LIST
886741206dfffff,268,51,2.0,HH,LIST
8867412083fffff,9,1,0.0,HH,LIST
8867412087fffff,216,2,0.0,LH,LIST
8867412091fffff,1148,86,0.0,ns,LIST
8867412093fffff,1078,140,3.0,ns,LIST
8867412095fffff,1301,181,0.0,HH,LIST
8867412097fffff,2034,188,0.0,HH,LIST
886741209bfffff,117,9,0.0,ns,LIST
88674120a1fffff,365,107,0.0,HH,LIST
88674120a3fffff,1958,203,0.0,HH,LIST
88674120a7fffff,685,137,0.0,HH,LIST
88674120abfffff,934,114,0.0,HH,LIST
88674120b1fffff,1729,112,0.0,HH,LIST
88674120b3fffff,1212,73,0.0,HH,LIST
88674120b5fffff,1115,97,0.0,HH,LIST
88674120b7fffff,969,61,0.0,HH,LIST
88674120b9fffff,1899,331,0.0,HH,LIST
88674120bbfffff,1424,132,0.0,HH,LIST
88674120bdfffff,2070,208,0.0,HH,LIST
8867412101fffff,60,2,0.0,ns,LIST
8867412105fffff,824,10,0.0,ns,LIST
8867412107fffff,91,0,0.0,ns,LIST
8867412109fffff,9,0,1.0,ns,LIST
886741210dfffff,1064,34,0.0,ns,LIST
8867412129fffff,207,5,0.0,ns,LIST
886741212bfffff,2,0,0.0,ns,LIST
886741212dfffff,77,9,0.0,ns,LIST
8867412141fffff,104,56,1.0,HH,LIST
8867412143fffff,1223,109,3.0,ns,LIST
8867412145fffff,1371,924,12.0,HH,LIST
8867412147fffff,656,134,1.0,HH,LIST
8867412149fffff,461,272,101.0,ns,LIST
886741214bfffff,40,6,5.0,ns,LIST
886741214dfffff,494,324,93.0,LH,LIST
8867412155fffff,31,2,0.0,ns,LIST
8867412159fffff,148,7,0.0,ns,LIST
886741215bfffff,4,0,0.0,ns,LIST
886741215dfffff,818,29,1.0,ns,LIST
8867412161fffff,49,4,2.0,LH,LIST
8867412163fffff,529,1,0.0,ns,LIST
8867412165fffff,1621,593,13.0,HH,LIST
8867412167fffff,993,41,3.0,ns,LIST
8867412169fffff,1062,678,19.0,HH,LIST
886741216bfffff,1982,358,3.0,HH,LIST
886741216dfffff,502,309,11.0,HH,LIST
8867412213fffff,11,0,0.0,LH,LIST
8867412217fffff,18,2,0.0,HH,LIST
8867412233fffff,1059,274,32.0,ns,LIST
8867412235fffff,4,1,0.0,HH,LIST
8867412237fffff,71,19,2.0,HH,LIST
88674122c1fffff,619,186,13.0,HH,LIST
88674122c3fffff,1,0,0.0,ns,LIST
88674122c5fffff,120,3,0.0,LH,LIST
88674122c7fffff,1,0,0.0,ns,LIST
88674122c9fffff,206,143,12.0,HH,LIST
88674122cbfffff,166,48,0.0,HH,LIST
88674122cdfffff,5,2,0.0,ns,LIST
88674122e1fffff,223,37,2.0,HH,LIST
88674122e5fffff,216,12,1.0,ns,LIST
88674122e7fffff,2,0,0.0,ns,LIST
88674122e9fffff,1479,397,0.0,ns,LIST
88674122ebfffff,20,0,0.0,LH,LIST
88674122edfffff,1102,271,3.0,HH,LIST
8867412313fffff,37,18,0.0,HH,LIST
8867412317fffff,310,171,15.0,HH,LIST
8867412323fffff,182,95,17.0,ns,LIST
8867412327fffff,256,116,75.0,ns,LIST
8867412331fffff,179,102,6.0,HH,LIST
8867412333fffff,106,24,0.0,HH,LIST
8867412335fffff,607,353,25.0,HH,LIST
8867412337fffff,26,5,0.0,ns,LIST
8867412339fffff,168,100,5.0,HH,LIST
886741233bfffff,278,149,6.0,HH,LIST
886741233dfffff,272,113,3.0,HH,LIST
8867412421fffff,69,1,0.0,ns,LIST
8867412425fffff,502,34,0.0,ns,LIST
8867412427fffff,92,14,0.0,ns,LIST
8867412501fffff,310,14,0.0,ns,LIST
8867412503fffff,830,9,0.0,ns,LIST
8867412505fffff,429,2,0.0,ns,LIST
8867412507fffff,1008,56,0.0,ns,LIST
8867412509fffff,371,29,0.0,ns,LIST
886741250bfffff,510,33,0.0,ns,LIST
886741250dfffff,29,0,0.0,ns,LIST
8867412511fffff,272,4,0.0,ns,LIST
8867412513fffff,396,7,0.0,ns,LIST
8867412515fffff,604,23,0.0,ns,LIST
8867412517fffff,141,8,0.0,ns,LIST
8867412519fffff,589,21,0.0,ns,LIST
886741251bfffff,448,28,0.0,ns,LIST
886741251dfffff,866,14,0.0,ns,LIST
8867412521fffff,1660,62,0.0,ns,LIST
8867412523fffff,2681,71,0.0,ns,LIST
8867412525fffff,2245,37,0.0,LL,LIST
8867412527fffff,2545,59,0.0,LL,LIST
8867412529fffff,1095,16,0.0,ns,LIST
886741252bfffff,1404,82,0.0,ns,LIST
886741252dfffff,2524,167,0.0,ns,LIST
8867412531fffff,392,16,0.0,ns,LIST
8867412533fffff,817,10,0.0,ns,LIST
8867412535fffff,198,12,0.0,ns,LIST
8867412537fffff,220,8,0.0,ns,LIST
8867412539fffff,857,36,0.0,ns,LIST
886741253bfffff,215,3,0.0,ns,LIST
886741253dfffff,598,19,0.0,ns,LIST
8867412541fffff,1377,132,0.0,ns,LIST
8867412543fffff,919,61,0.0,ns,LIST
8867412545fffff,2460,170,0.0,ns,LIST
8867412547fffff,1001,52,0.0,ns,LIST
8867412549fffff,56,6,0.0,ns,LIST
886741254bfffff,852,63,0.0,ns,LIST
886741254dfffff,463,54,0.0,ns,LIST
8867412551fffff,874,78,0.0,ns,LIST
8867412553fffff,252,10,0.0,ns,LIST
8867412555fffff,962,74,0.0,ns,LIST
8867412557fffff,999,48,0.0,ns,LIST
8867412559fffff,505,15,0.0,ns,LIST
886741255dfffff,941,23,0.0,ns,LIST
8867412561fffff,841,73,0.0,ns,LIST
8867412563fffff,1274,25,0.0,ns,LIST
8867412565fffff,727,37,0.0,LH,LIST
8867412567fffff,1585,123,0.0,ns,LIST
8867412569fffff,1509,156,0.0,ns,LIST
886741256bfffff,561,37,0.0,ns,LIST
886741256dfffff,1342,146,0.0,ns,LIST
88674125a1fffff,1082,34,0.0,ns,LIST
88674125a3fffff,129,18,0.0,ns,LIST
88674125a5fffff,113,4,0.0,ns,LIST
88674125a7fffff,835,60,0.0,ns,LIST
88674125a9fffff,319,19,0.0,ns,LIST
88674125abfffff,123,2,0.0,ns,LIST
88674125adfffff,628,30,0.0,ns,LIST
88674125b1fffff,27,0,0.0,ns,LIST
88674125b5fffff,87,0,0.0,ns,LIST
88674125b7fffff,22,0,0.0,ns,LIST
88674125bdfffff,21,0,0.0,ns,LIST
88674125c5fffff,210,17,0.0,ns,LIST
88674125cdfffff,23,0,0.0,ns,LIST
88674125e1fffff,491,8,0.0,ns,LIST
88674125e5fffff,683,28,0.0,ns,LIST
88674125e7fffff,379,12,0.0,ns,LIST
88674125e9fffff,522,10,0.0,ns,LIST
88674125ebfffff,8,0,0.0,ns,LIST
88674125edfffff,404,0,0.0,ns,LIST
8867412731fffff,43,3,0.0,ns,LIST
8867412733fffff,257,4,0.0,ns,LIST
8867412735fffff,19,2,0.0,ns,LIST
8867412737fffff,1087,79,0.0,ns,LIST
8867412849fffff,2,0,0.0,ns,LIST
8867412a01fffff,519,9,2.0,ns,LIST
8867412a05fffff,443,2,0.0,ns,LIST
8867412a07fffff,53,0,0.0,ns,LIST
8867412a09fffff,1900,123,6.0,ns,LIST
8867412a0bfffff,44,0,0.0,ns,LIST
8867412a0dfffff,1074,40,0.0,ns,LIST
8867412a15fffff,358,6,0.0,ns,LIST
8867412a19fffff,37,0,0.0,ns,LIST
8867412a1dfffff,210,2,1.0,ns,LIST
8867412a21fffff,15,0,0.0,ns,LIST
8867412a23fffff,372,9,0.0,ns,LIST
8867412a27fffff,29,1,0.0,ns,LIST
8867412a29fffff,32,2,0.0,ns,LIST
8867412a2bfffff,425,29,0.0,ns,LIST
8867412a31fffff,1,0,0.0,ns,LIST
8867412a3bfffff,1,0,0.0,ns,LIST
8867412a3dfffff,397,37,0.0,ns,LIST
8867412a43fffff,681,134,2.0,ns,LIST
8867412a47fffff,91,12,0.0,ns,LIST
8867412a51fffff,52,0,0.0,ns,LIST
8867412a53fffff,1,0,0.0,ns,LIST
8867412a55fffff,1459,173,2.0,ns,LIST
8867412a57fffff,581,25,0.0,ns,LIST
8867412a59fffff,483,205,8.0,ns,LIST
8867412a5bfffff,300,54,1.0,ns,LIST
8867412a5dfffff,177,11,4.0,ns,LIST
8867412a63fffff,449,124,0.0,ns,LIST
8867412a67fffff,25,5,1.0,HH,LIST
8867412a6bfffff,6,2,0.0,HH,LIST
8867412c11fffff,73,0,0.0,ns,LIST
8867412c13fffff,66,2,0.0,ns,LIST
8867412c19fffff,307,27,0.0,ns,LIST
8867412c1bfffff,181,2,0.0,ns,LIST
8867412c1dfffff,1,0,0.0,ns,LIST
8867412c53fffff,122,23,0.0,ns,LIST
8867412c57fffff,9,0,0.0,ns,LIST
8867412c5bfffff,133,6,0.0,ns,LIST
8867412cc9fffff,325,44,0.0,ns,LIST
8867412ccbfffff,91,7,0.0,ns,LIST
8867412ccdfffff,473,92,0.0,ns,LIST
8867412e0bfffff,8,0,0.0,ns,LIST
8867412e11fffff,1,0,0.0,ns,LIST
8867412e13fffff,598,8,0.0,LL,LIST
8867412e19fffff,842,29,0.0,LL,LIST
8867412e1bfffff,973,6,0.0,LL,LIST
8867412e1dfffff,607,33,0.0,ns,LIST
8867412e41fffff,4,0,0.0,LH,LIST
8867412e43fffff,605,77,0.0,ns,LIST
8867412e49fffff,561,95,0.0,HH,LIST
8867412e4bfffff,888,178,0.0,ns,LIST
8867412e51fffff,909,99,0.0,ns,LIST
8867412e53fffff,1782,15,0.0,ns,LIST
8867412e55fffff,312,25,0.0,ns,LIST
8867412e57fffff,1457,56,0.0,ns,LIST
8867412e59fffff,1364,179,0.0,ns,LIST
8867412e5bfffff,1095,78,0.0,ns,LIST
8867412e5dfffff,1701,72,0.0,LH,LIST
8867412e81fffff,79,2,0.0,ns,LIST
8867412e85fffff,190,1,0.0,ns,LIST
8867412e87fffff,7,0,0.0,ns,LIST
8867412e89fffff,373,20,0.0,ns,LIST
8867412e8bfffff,126,11,0.0,ns,LIST
8867412e8dfffff,419,41,0.0,ns,LIST
8867412e91fffff,72,1,0.0,ns,LIST
8867412e93fffff,44,4,0.0,ns,LIST
8867412e99fffff,206,0,0.0,ns,LIST
8867412e9bfffff,112,4,0.0,ns,LIST
8867412e9dfffff,196,1,0.0,ns,LIST
8867412ea1fffff,412,11,0.0,ns,LIST
8867412ea3fffff,718,15,0.0,ns,LIST
8867412ea5fffff,118,8,0.0,ns,LIST
8867412ea7fffff,947,85,0.0,ns,LIST
8867412ea9fffff,354,21,0.0,ns,LIST
8867412eabfffff,218,16,0.0,ns,LIST
8867412eadfffff,216,13,0.0,ns,LIST
8867412eb1fffff,2,0,0.0,ns,LIST
8867412eb5fffff,179,1,0.0,ns,LIST
8867412eb7fffff,2,0,0.0,ns,LIST
8867412eb9fffff,2,0,0.0,ns,LIST
8867412ebdfffff,186,23,0.0,ns,LIST
8867412ec1fffff,1006,5,0.0,ns,LIST
8867412ec3fffff,149,9,0.0,ns,LIST
8867412ec5fffff,1104,23,0.0,LL,LIST
8867412ec7fffff,382,38,0.0,ns,LIST
8867412ec9fffff,2189,99,0.0,LL,LIST
8867412ecbfffff,189,5,0.0,ns,LIST
8867412ecdfffff,2832,86,0.0,LL,LIST
8867412ed1fffff,559,21,0.0,ns,LIST
8867412ed3fffff,721,17,0.0,ns,LIST
8867412ed5fffff,22,0,0.0,ns,LIST
8867412ed7fffff,506,16,0.0,ns,LIST
8867412ed9fffff,555,17,0.0,ns,LIST
8867412edbfffff,774,26,0.0,ns,LIST
8867412eddfffff,30,1,0.0,ns,LIST
8867412ee1fffff,472,6,0.0,ns,LIST
8867412ee3fffff,568,29,0.0,ns,LIST
8867412ee5fffff,130,1,0.0,ns,LIST
