res,product,spec,cells,dispersion,moran_I,moran_p,b_logbldg,p_logbldg,b_coast,p_coast,b_mmi,p_mmi,r2,sp_logbldg,sp_coast,sp_mmi
8,Microsoft,raw,140,187.8,0.343,0.001,5.366,0.0,0.232,0.7274,,,0.155,0.49,0.25,
8,Microsoft,exposure,140,54.6,0.54,0.001,-0.121,0.8459,-0.852,0.0346,,,0.014,-0.26,-0.09,
8,IMPACT v2,raw,743,137.7,0.472,0.001,5.277,0.0,-1.874,0.0,0.993,0.0002,0.236,0.72,-0.12,-0.01
8,IMPACT v2,exposure,743,31.3,0.432,0.001,0.359,0.0995,-1.66,0.0,0.532,0.0,0.126,-0.27,-0.37,0.37
8,OSU,raw,957,184.1,0.341,0.001,3.97,0.0,-3.796,0.0,2.121,0.0,0.167,0.5,-0.3,-0.05
8,OSU,exposure,957,80.2,0.494,0.001,-0.002,0.9946,-3.5,0.0,1.832,0.0,0.187,-0.54,-0.37,0.26
7,Microsoft,raw,33,447.8,0.275,0.014,7.18,0.0562,1.452,0.4019,,,0.121,0.34,0.21,
7,Microsoft,exposure,33,193.6,0.539,0.001,-0.932,0.6268,-1.146,0.4791,,,0.011,-0.31,0.02,
7,IMPACT v2,raw,170,519.3,0.518,0.001,10.38,0.0,-2.887,0.0034,1.691,0.0951,0.225,0.76,-0.07,-0.14
7,IMPACT v2,exposure,170,86.1,0.576,0.001,0.558,0.4728,-3.004,0.0,1.132,0.0049,0.148,-0.21,-0.4,0.33
7,OSU,raw,225,284.7,0.312,0.001,6.104,0.0,-5.805,0.0,2.605,0.0005,0.241,0.63,-0.34,-0.12
7,OSU,exposure,225,218.3,0.434,0.001,0.159,0.8385,-6.399,0.0,3.301,0.0,0.229,-0.46,-0.46,0.26
