region,lens,radius,predictor,metric,value,source
core,cells,9,OSU,top20,0.1,pipeline/ranking.py
core,cells,9,OSU,top20_null,0.0,pipeline/ranking.py
core,cells,9,OSU,cells,594.0,pipeline/ranking.py
core,cells,8,OSU,rho,0.703,pipeline/ranking.py
core,cells,8,OSU,rho_null,0.644,pipeline/ranking.py
core,cells,8,OSU,delta,0.059,pipeline/ranking.py
core,cells,8,OSU,top20,0.45,pipeline/ranking.py
core,cells,8,OSU,top20_null,0.45,pipeline/ranking.py
core,cells,8,OSU,cells,133.0,pipeline/ranking.py
core,cells,9,UH,rho,0.303,pipeline/ranking.py
core,cells,9,UH,rho_null,0.471,pipeline/ranking.py
core,cells,9,UH,delta,-0.168,pipeline/ranking.py
core,cells,9,UH,top20,0.05,pipeline/ranking.py
core,cells,9,UH,top20_null,0.0,pipeline/ranking.py
core,cells,9,UH,cells,594.0,pipeline/ranking.py
core,cells,8,UH,rho,0.477,pipeline/ranking.py
core,cells,8,UH,rho_null,0.644,pipeline/ranking.py
core,cells,8,UH,delta,-0.167,pipeline/ranking.py
core,cells,8,UH,top20,0.4,pipeline/ranking.py
core,cells,8,UH,top20_null,0.45,pipeline/ranking.py
core,cells,8,UH,cells,133.0,pipeline/ranking.py
core,cells,9,LIST,rho,0.565,pipeline/ranking.py
core,cells,9,LIST,rho_null,0.471,pipeline/ranking.py
core,cells,9,LIST,delta,0.094,pipeline/ranking.py
core,cells,9,LIST,top20,0.2,pipeline/ranking.py
core,cells,9,LIST,top20_null,0.0,pipeline/ranking.py
core,cells,9,LIST,cells,594.0,pipeline/ranking.py
core,cells,8,LIST,rho,0.737,pipeline/ranking.py
core,cells,8,LIST,rho_null,0.644,pipeline/ranking.py
core,cells,8,LIST,delta,0.092,pipeline/ranking.py
core,cells,8,LIST,top20,0.65,pipeline/ranking.py
core,cells,8,LIST,top20_null,0.45,pipeline/ranking.py
core,cells,8,LIST,cells,133.0,pipeline/ranking.py
core,cells,9,UNEP,rho,0.445,pipeline/ranking.py
core,cells,9,UNEP,rho_null,0.471,pipeline/ranking.py
core,cells,9,UNEP,delta,-0.025,pipeline/ranking.py
core,cells,9,UNEP,top20,0.1,pipeline/ranking.py
core,cells,9,UNEP,top20_null,0.0,pipeline/ranking.py
core,cells,9,UNEP,cells,594.0,pipeline/ranking.py
core,cells,8,UNEP,rho,0.579,pipeline/ranking.py
core,cells,8,UNEP,rho_null,0.644,pipeline/ranking.py
core,cells,8,UNEP,delta,-0.066,pipeline/ranking.py
core,cells,8,UNEP,top20,0.4,pipeline/ranking.py
core,cells,8,UNEP,top20_null,0.45,pipeline/ranking.py
core,cells,8,UNEP,cells,133.0,pipeline/ranking.py
Caraballeda,cells,9,Microsoft,rho,0.306,pipeline/ranking.py
Caraballeda,cells,9,Microsoft,rho_null,0.4,pipeline/ranking.py
Caraballeda,cells,9,Microsoft,delta,-0.094,pipeline/ranking.py
Caraballeda,cells,9,Microsoft,top20,0.15,pipeline/ranking.py
Caraballeda,cells,9,Microsoft,top20_null,0.0,pipeline/ranking.py
Caraballeda,cells,9,Microsoft,cells,429.0,pipeline/ranking.py
Caraballeda,cells,8,Microsoft,rho,0.474,pipeline/ranking.py
