region,lens,radius,predictor,metric,value,source
core,facts,,region,area_km2,60.83497485608496,pipeline/facts.py
core,facts,,region,n_buildings,57241.0,pipeline/facts.py
all,facts,,region,products_overlap_km2,99.99623668117279,pipeline/facts.py
all,facts,,region,cems_extent_km2,505.46759229229036,pipeline/facts.py
all,facts,,region,n_buildings_base,702036.0,pipeline/facts.py
all,facts,,MS,aoi_km2,210.24083784580125,pipeline/facts.py
all,facts,,IMPACT,aoi_km2,32712.727664723574,pipeline/facts.py
all,facts,,OSU,aoi_km2,41463.16263237391,pipeline/facts.py
all,facts,,UH,aoi_km2,533.2496218042317,pipeline/facts.py
all,facts,,LIST,aoi_km2,223708.05093871543,pipeline/facts.py
core,facts,,spacing,median_nn_m,9.61313127760253,pipeline/facts.py
core,facts,,spacing,share_nn_within_20m,0.9324609982355305,pipeline/facts.py
core,facts,,spacing,share_nn_within_10m,0.5384427246204644,pipeline/facts.py
all,facts,,CEMS,n_points_all_grades,3119.0,pipeline/facts.py
all,facts,,CEMS,n_points_2_3,1536.0,pipeline/facts.py
all,facts,,CEMS,n_points_1,1583.0,pipeline/facts.py
core,facts,,CEMS,n_points_2_3,1467.0,pipeline/facts.py
core,facts,,CEMS,n_destroyed,683.0,pipeline/facts.py
core,facts,,CEMS,n_damaged,784.0,pipeline/facts.py
core,facts,,CEMS,n_possibly,1319.0,pipeline/facts.py
Caraballeda,facts,,CEMS,n_points_2_3,1468.0,pipeline/facts.py
Caraballeda,facts,,CEMS,share_of_points_2_3,0.9557291666666666,pipeline/facts.py
Caracas,facts,,CEMS,n_points_2_3,3.0,pipeline/facts.py
Caracas,facts,,CEMS,share_of_points_2_3,0.001953125,pipeline/facts.py
Moron,facts,,CEMS,n_points_2_3,26.0,pipeline/facts.py
Moron,facts,,CEMS,share_of_points_2_3,0.016927083333333332,pipeline/facts.py
San Felipe,facts,,CEMS,n_points_2_3,14.0,pipeline/facts.py
San Felipe,facts,,CEMS,share_of_points_2_3,0.009114583333333334,pipeline/facts.py
Santa Cruz,facts,,CEMS,n_points_2_3,3.0,pipeline/facts.py
Santa Cruz,facts,,CEMS,share_of_points_2_3,0.001953125,pipeline/facts.py
all,facts,,h3-res7,avg_area_km2,5.161293359717191,pipeline/facts.py
all,facts,,h3-res8,avg_area_km2,0.7373275975944177,pipeline/facts.py
all,facts,,h3-res9,avg_area_km2,0.1053325134272067,pipeline/facts.py
all,facts,,h3-res11,avg_area_km2,0.002149643129451879,pipeline/facts.py
all,facts,,h3-res12,avg_area_km2,0.000307091875631606,pipeline/facts.py
all,facts,,MS,n_footprints,72162.0,pipeline/facts.py
all,facts,,MS,share_mostly_obscured,0.036057758931293475,pipeline/facts.py
core,facts,,MS,n_footprints,61191.0,pipeline/facts.py
core,facts,,MS,share_mostly_obscured,0.014283146214312563,pipeline/facts.py
core,facts,,DISHA,extent_km2,133.5964736294945,pipeline/facts.py
core,facts,,DISHA,covers_km2,29.293154430397394,pipeline/facts.py
core,facts,,DISHA,share_of_core,0.48151831244600857,pipeline/facts.py
core,facts,,DISHA,cems_in_extent,886.0,pipeline/facts.py
core,facts,,DISHA,cems_in_core,1467.0,pipeline/facts.py
all,facts,,OSU,v0_flags_delivered,58870.0,pipeline/facts.py
all,facts,,OSU,v1_flags_delivered,69431.0,pipeline/facts.py
all,facts,,OSU,v0_flags_on_base,57066.0,pipeline/facts.py
all,facts,,OSU,v1_flags_on_base,69224.0,pipeline/facts.py
all,facts,,OSU,dropped_v0_to_v1,30565.0,pipeline/facts.py
all,facts,,OSU,added_v0_to_v1,42723.0,pipeline/facts.py
all,facts,,OSU,coverage_growth,0.17939527773059294,pipeline/facts.py
all,facts,,OSU,v0_share_probability_1,0.5121114319687446,pipeline/facts.py
all,facts,,MS,delivered_footprints,8410.0,pipeline/facts.py
all,facts,,MS,mapped_by_iou,8410.0,pipeline/facts.py
all,facts,,MS,mapped_by_snap,0.0,pipeline/facts.py
all,facts,,MS,orphans,0.0,pipeline/facts.py
all,facts,,MS,base_buildings,8339.0,pipeline/facts.py
all,facts,,MS,collapsed,71.0,pipeline/facts.py
all,facts,,MS,median_iou,0.667,pipeline/facts.py
all,facts,,UNEP,delivered_footprints,96046.0,pipeline/facts.py
all,facts,,UNEP,mapped_by_iou,92820.0,pipeline/facts.py
all,facts,,UNEP,mapped_by_snap,3067.0,pipeline/facts.py
all,facts,,UNEP,orphans,159.0,pipeline/facts.py
all,facts,,UNEP,base_buildings,75814.0,pipeline/facts.py
all,facts,,UNEP,collapsed,20073.0,pipeline/facts.py
all,facts,,UNEP,median_iou,0.413,pipeline/facts.py
all,facts,,UH,delivered_footprints,76378.0,pipeline/facts.py
all,facts,,UH,mapped_by_iou,75329.0,pipeline/facts.py
all,facts,,UH,mapped_by_snap,1031.0,pipeline/facts.py
all,facts,,UH,orphans,18.0,pipeline/facts.py
all,facts,,UH,base_buildings,75294.0,pipeline/facts.py
all,facts,,UH,collapsed,1066.0,pipeline/facts.py
all,facts,,UH,median_iou,0.99,pipeline/facts.py
all,facts,,ChatMap,n_points,415.0,pipeline/facts.py
all,facts,,ChatMap,n_complete,328.0,pipeline/facts.py
all,facts,,ChatMap,n_significant,63.0,pipeline/facts.py
all,facts,,ChatMap,n_minimal,24.0,pipeline/facts.py
