rule,members,n_bldg,n_flagged,n_cems,region_km2,overdet,recall_r10,precision_r10,f1_r10,recall_r5,precision_r5,f1_r5,recall_r20,precision_r20,f1_r20
MS,ms,56348,9050,1455,60.8,6.2,0.476,0.082,0.14,0.399,0.065,0.111,0.621,0.138,0.226
IMPACT,impact,332670,22954,1487,372.3,15.4,0.457,0.033,0.061,0.385,0.025,0.047,0.619,0.062,0.113
OSU,osu,405606,31259,1475,470.6,21.2,0.681,0.037,0.07,0.577,0.028,0.053,0.852,0.072,0.133
UH,uh,289457,55925,1487,260.9,37.6,0.339,0.009,0.018,0.283,0.008,0.015,0.437,0.014,0.028
MS∧IMPACT,ms+impact,56348,2368,1455,60.8,1.6,0.299,0.191,0.233,0.254,0.156,0.193,0.421,0.31,0.357
MS∧IMPACT (quad),ms+impact+osu+uh,56052,2368,1455,58.5,1.6,0.299,0.191,0.233,0.254,0.156,0.193,0.421,0.31,0.357
MS∧OSU,ms+osu,56348,5013,1455,60.8,3.4,0.427,0.132,0.202,0.363,0.106,0.164,0.564,0.219,0.315
MS∧OSU (quad),ms+impact+osu+uh,56052,5012,1455,58.5,3.4,0.427,0.132,0.202,0.363,0.106,0.164,0.564,0.219,0.315
MS∧UH,ms+uh,56052,1014,1455,58.5,0.7,0.261,0.373,0.307,0.219,0.316,0.259,0.337,0.532,0.412
MS∧UH (quad),ms+impact+osu+uh,56052,1014,1455,58.5,0.7,0.261,0.373,0.307,0.219,0.316,0.259,0.337,0.532,0.412
IMPACT∧OSU,impact+osu,322374,8393,1461,357.5,5.7,0.431,0.082,0.138,0.368,0.065,0.11,0.591,0.155,0.246
IMPACT∧OSU (quad),ms+impact+osu+uh,56052,7794,1455,58.5,5.4,0.431,0.088,0.147,0.368,0.069,0.116,0.591,0.166,0.26
IMPACT∧UH,impact+uh,289457,3935,1487,260.9,2.6,0.215,0.081,0.117,0.183,0.068,0.1,0.296,0.128,0.178
IMPACT∧UH (quad),ms+impact+osu+uh,56052,1290,1455,58.5,0.9,0.214,0.24,0.227,0.182,0.203,0.192,0.297,0.383,0.334
OSU∧UH,osu+uh,279620,3923,1461,249.4,2.7,0.298,0.111,0.162,0.251,0.094,0.137,0.389,0.175,0.241
OSU∧UH (quad),ms+impact+osu+uh,56052,2954,1455,58.5,2.0,0.297,0.147,0.196,0.25,0.124,0.165,0.387,0.23,0.289
1-of-4,ms+impact+osu+uh,56052,34120,1455,58.5,23.5,0.761,0.037,0.071,0.638,0.028,0.053,0.929,0.074,0.137
2-of-4,ms+impact+osu+uh,56052,13087,1455,58.5,9.0,0.634,0.078,0.138,0.533,0.06,0.107,0.823,0.144,0.245
3-of-4,ms+impact+osu+uh,56052,2984,1455,58.5,2.1,0.404,0.201,0.268,0.344,0.168,0.226,0.541,0.327,0.408
4-of-4,ms+impact+osu+uh,56052,459,1455,58.5,0.3,0.161,0.516,0.245,0.138,0.44,0.21,0.219,0.73,0.336
