res,product,cells,cems_cells,spearman,kendall,top10,top20,top50,overdet_median,overdet_p90,bias_rho
8,Microsoft,105,72,0.474,0.349,0.1,0.35,0.6,3.0,57.2,-0.485
8,IMPACT v2,364,84,0.297,0.232,0.4,0.25,0.38,6.3,82.2,-0.281
8,OSU,433,78,0.514,0.413,0.4,0.45,0.64,19.1,165.3,-0.359
7,Microsoft,29,24,0.568,0.424,0.6,0.85,0.58,6.1,107.0,-0.805
7,IMPACT v2,106,30,0.458,0.36,0.4,0.5,0.46,7.7,86.1,-0.478
7,OSU,142,30,0.573,0.461,0.6,0.8,0.5,25.9,188.8,-0.434
