thresh,n_flag,flag_pct,precision,recall,f1
1.0,33748,60.0,0.03,0.649,0.058
1.25,24180,43.0,0.037,0.578,0.069
1.5,16588,29.5,0.044,0.483,0.081
1.75,11153,19.8,0.055,0.41,0.097
2.0,7406,13.2,0.066,0.331,0.11
2.25,4994,8.9,0.081,0.278,0.126
2.5,3465,6.2,0.094,0.223,0.132
2.75,2425,4.3,0.11,0.183,0.137
3.0,1732,3.1,0.125,0.152,0.137
3.25,1281,2.3,0.144,0.131,0.137
3.5,963,1.7,0.158,0.105,0.126
3.75,721,1.3,0.168,0.083,0.111
4.0,548,1.0,0.188,0.073,0.105
4.25,438,0.8,0.212,0.065,0.1
4.5,357,0.6,0.221,0.054,0.086
4.75,299,0.5,0.241,0.048,0.08
5.0,259,0.5,0.232,0.041,0.07
5.25,217,0.4,0.258,0.038,0.067
5.5,184,0.3,0.283,0.036,0.063
5.75,148,0.3,0.318,0.032,0.059
6.0,124,0.2,0.339,0.028,0.052
