predictor,kind,precision,recall,f1,n_flags,threshold
MS,product (as shipped),0.081,0.552,0.142,9138,
IMPACT,product (as shipped),0.069,0.552,0.123,10788,
OSU,product (as shipped),0.045,0.858,0.085,25882,
UH,product (as shipped),0.093,0.369,0.148,5362,
LIST,product (as shipped),0.057,0.667,0.104,15904,
UNEP,product (as shipped),0.086,0.359,0.139,5605,
geography null (logistic),our score @ its best single cut,0.072,0.52,0.126,9799,0.6807
geography null (rand. forest),our score @ its best single cut,0.05,0.462,0.09,12460,0.2802
flat k-of-6 voting,our score @ its best single cut,0.339,0.253,0.29,1005,5.0
weighted fusion,our score @ its best single cut,0.3,0.404,0.345,1815,0.9014
