model,avg_precision
logit,0.428
rf,0.45
rf context-only (NO products),0.232
rf products-only (NO context),0.403
votes(k-of-6),0.323
single: MS,0.134
single: IMPACT,0.173
single: OSU,0.156
single: UH,0.124
single: LIST,0.166
single: UNEP,0.12
