features,AP,best_F1,P,R,rho_res8,rho_res9
dens,0.038,0.086,0.047,0.535,0.543,0.344
dens+mmi,0.038,0.086,0.047,0.535,0.543,0.344
dens+coast+mmi (paper),0.06,0.127,0.073,0.509,0.648,0.478
dens+rupt+mmi (dead end),0.117,0.226,0.147,0.492,0.645,0.504
dens+slope+mmi,0.056,0.112,0.064,0.442,0.645,0.499
dens+elev+mmi,0.072,0.143,0.089,0.363,0.706,0.513
dens+slope+elev+mmi,0.072,0.144,0.092,0.339,0.718,0.528
dens+slope+elev+coast+mmi,0.075,0.151,0.094,0.388,0.724,0.543
dens+sand+clay+mmi (soil),0.042,0.085,0.049,0.319,0.54,0.358
