feature,rf_importance,logit_coef
elev,0.264,-0.54
density9,0.198,-0.49
slope,0.093,-0.16
osu_class,0.082,0.19
ms_pct,0.067,0.26
osu_dmg,0.062,0.19
list_dmg,0.049,0.15
sar_class,0.046,0.17
list_class,0.046,0.15
sar_dmg,0.04,0.17
ms_dmg,0.014,0.14
ms_nobs,0.013,0.14
debris_dmg,0.01,0.06
uh_class,0.008,0.29
uh_dmg,0.007,-0.15
mmi,0.0,0.0
