model,avg_precision
logit,0.386
rf,0.402
rf context-only (NO products),0.16
rf products-only (NO context),0.37
votes(k-of-6),0.288
single: MS,0.106
single: IMPACT,0.124
single: OSU,0.109
single: UH,0.095
single: LIST,0.119
single: UNEP,0.092
