feature,rf_importance,logit_coef
dist_coast,0.219,-0.77
density9,0.191,-0.64
ms_pct,0.124,0.2
osu_dmg,0.095,0.24
osu_class,0.09,0.24
list_class,0.053,0.17
ms_dmg,0.049,0.34
list_dmg,0.04,0.17
sar_dmg,0.037,0.17
sar_class,0.033,0.17
uh_class,0.021,0.41
debris_dmg,0.018,0.14
ms_nobs,0.017,0.28
uh_dmg,0.015,-0.22
mmi,0.0,0.0
