feature,rf_importance,logit_coef
elev,0.247,-0.56
density9,0.19,-0.55
slope,0.097,-0.14
ms_pct,0.088,0.28
osu_class,0.076,0.19
osu_dmg,0.062,0.19
list_class,0.05,0.16
list_dmg,0.049,0.16
sar_class,0.04,0.17
sar_dmg,0.035,0.17
ms_dmg,0.02,0.18
ms_nobs,0.014,0.19
debris_dmg,0.012,0.08
uh_class,0.011,0.31
uh_dmg,0.009,-0.13
mmi,0.0,0.0
