product,n_bld,n_pos,n_flags,AP_product,AP_dayzero,P_product,R_product,P_dayzero_matched,R_dayzero_matched
MS,58705,2064,7950,0.075,0.066,0.121,0.465,0.079,0.304
IMPACT,339700,2101,23490,0.029,0.061,0.048,0.537,0.059,0.658
OSU,412637,2100,32643,0.046,0.072,0.054,0.839,0.05,0.78
UH,290648,2099,56308,0.009,0.072,0.012,0.327,0.035,0.933
LIST,422932,2129,34440,0.027,0.059,0.04,0.64,0.046,0.737
UNEP,422932,2129,17937,0.015,0.059,0.037,0.31,0.064,0.543
