product,n_bld,n_pos,n_flags,AP_product,AP_dayzero,P_product,R_product,P_dayzero_matched,R_dayzero_matched
MS,58705,4390,9217,0.116,0.128,0.182,0.383,0.15,0.315
IMPACT,339699,4486,23491,0.054,0.125,0.095,0.497,0.118,0.62
OSU,412635,4479,32643,0.089,0.135,0.109,0.796,0.1,0.728
UH,290646,4478,55951,0.016,0.145,0.019,0.24,0.074,0.922
LIST,422931,4556,34435,0.052,0.124,0.079,0.601,0.097,0.733
UNEP,422931,4556,17880,0.022,0.124,0.06,0.234,0.132,0.519
