model,avg_precision
logit,0.322
rf,0.318
rf context-only (NO products),0.057
rf products-only (NO context),0.287
votes(k-of-6),0.24
single: MS,0.076
single: IMPACT,0.073
single: OSU,0.063
single: UH,0.065
single: LIST,0.069
single: UNEP,0.062
