predictor,kind,precision,recall,f1,n_flags,threshold
MS,product (as shipped),0.138,0.461,0.212,9138,
IMPACT,product (as shipped),0.133,0.523,0.212,10788,
OSU,product (as shipped),0.087,0.826,0.158,25882,
UH,product (as shipped),0.148,0.291,0.196,5362,
LIST,product (as shipped),0.111,0.646,0.19,15904,
UNEP,product (as shipped),0.143,0.293,0.193,5605,
geography null (logistic),our score @ its best single cut,0.125,0.575,0.206,12527,0.626
geography null (rand. forest),our score @ its best single cut,0.096,0.458,0.158,13112,0.3442
flat k-of-6 voting,our score @ its best single cut,0.311,0.38,0.342,3347,4.0
weighted fusion,our score @ its best single cut,0.396,0.377,0.386,2604,0.8519
