product,n_bld,n_pos,n_flags,AP_product,AP_dayzero,P_product,R_product,P_dayzero_matched,R_dayzero_matched
MS,58705,3727,7944,0.104,0.116,0.174,0.371,0.144,0.307
IMPACT,339700,3800,23490,0.048,0.104,0.083,0.512,0.105,0.647
OSU,412637,3805,32643,0.078,0.126,0.094,0.807,0.088,0.759
UH,290648,3794,55952,0.014,0.127,0.018,0.261,0.063,0.936
LIST,422932,3864,34440,0.046,0.103,0.069,0.615,0.081,0.719
UNEP,422932,3864,17879,0.02,0.103,0.054,0.25,0.117,0.54
