product,side,n_bld,n_flags,flag_share,n_cems,P_cems
UH,west,14189,479,0.034,217,0.186
UH,east,43075,4968,0.115,1250,0.118
MS,west,15350,4405,0.287,217,0.052
MS,east,43355,3545,0.082,1250,0.205
