scene,flags,P_cems,R_cems,F1,crowd_damaged,crowd_no,crowd_cov
Vantor Jun-25,6870,0.007,0.374,0.013,0.14,0.68,1.0
Planet Jun-26,1209,0.007,0.07,0.012,0.07,0.45,0.59
