version,flags,cems_pts,P,R,F1,field_pts,R_field
v0 (own extent ∩ CEMS),32643,1488,0.054,0.856,0.102,381,0.92
v1 (own extent ∩ CEMS),35348,1514,0.047,0.805,0.089,381,0.92
v0 (common extent),32643,1488,0.054,0.856,0.102,381,0.92
v1 (common extent),32185,1488,0.051,0.813,0.096,381,0.92
