reference,n_field_in_aoi,recall_r20,recall_r10,recall_r50,complete_r20,n_complete,significant_r20,n_significant,minimal_r20,n_minimal
MS,376,0.8,0.73,0.89,0.87,319.0,0.4,52.0,0.2,5.0
IMPACT v2,415,0.72,0.65,0.84,0.8,328.0,0.49,63.0,0.29,24.0
OSU,415,0.88,0.84,0.92,0.95,328.0,0.78,63.0,0.25,24.0
UH,388,0.59,0.55,0.67,0.63,321.0,0.38,56.0,0.55,11.0
LIST,415,0.84,0.76,0.94,0.9,328.0,0.78,63.0,0.29,24.0
UNEP debris (core region),367,0.65,0.59,0.81,0.71,316.0,0.28,47.0,,
"CEMS {2,3}",381,0.85,0.64,0.91,0.94,318.0,0.49,51.0,0.17,12.0
≥1-of-4 votes,376,0.98,0.95,1.0,0.99,319.0,0.92,52.0,0.8,5.0
≥2-of-4 votes,376,0.94,0.9,0.97,0.97,319.0,0.75,52.0,0.8,5.0
≥3-of-4 votes,376,0.74,0.68,0.84,0.81,319.0,0.38,52.0,0.2,5.0
≥1-of-6 votes (core region),367,0.99,0.96,1.0,0.99,316.0,0.96,47.0,,
≥2-of-6 votes (core region),367,0.98,0.95,1.0,0.99,316.0,0.91,47.0,,
HOT fAIr (detected-only),415,0.02,,,,,,,,
DISHA (detected-only),415,0.2,,,,,,,,
