region,lens,radius,predictor,metric,value,source
ALL,moran,8.0,IMPACT,cells,743.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,IMPACT,flag_pct,6.9,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,IMPACT,moran_I,0.432,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,IMPACT,n_cems,1500.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,IMPACT,p,0.001,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,MS,cells,140.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,MS,flag_pct,13.5,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,MS,moran_I,0.54,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,MS,n_cems,1467.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,MS,p,0.001,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,OSU,cells,957.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,OSU,flag_pct,7.9,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,OSU,moran_I,0.493,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,OSU,n_cems,1488.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,OSU,p,0.001,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,UH,cells,526.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,UH,flag_pct,19.3,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,UH,moran_I,0.401,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,UH,n_cems,1499.0,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
ALL,moran,8.0,UH,p,0.001,RQ3-prioritization-error-structure/rq3b_per_area_moran.csv
Caraballeda,cells,8.0,IMPACT v2,cells,110.0,pipeline/ranking.py
Caraballeda,cells,8.0,IMPACT v2,delta,0.102,pipeline/ranking.py
Caraballeda,cells,8.0,IMPACT v2,rho,0.548,pipeline/ranking.py
