sid,s_area,centroid_lon,centroid_lat
3719,3526.4965893697663,-66.89700072400908,10.472228806702278
4713,413.87446925148987,-66.95046727300148,10.60386299491561
4722,152.53429246403226,-66.95033028993358,10.603812926222057
9141,13.371699546864724,-66.99361899999991,10.527549000000198
9260,220.72750607686916,-66.93264718723351,10.528290650979319
9839,207.79152663243195,-66.93338549998852,10.554647000006169
11153,107.4803195522858,-66.9551230000091,10.5479499999976
16653,3578.5660811315765,-66.88095611675406,10.458220189919428
19463,298.7739599945519,-66.91671438135963,10.454213383618361
22158,1127.8850049362875,-66.93335304912922,10.493052772185989
22192,38.95586130286153,-66.94447399999936,10.517708500001234
25162,53.3697637369302,-66.90842615929023,10.464207017406714
34176,387.06109681481166,-66.8997819999801,10.477500000007133
43947,21.866212615520574,-66.99259900000004,10.470469500000219
61691,138.5730519942789,-66.9471628626466,10.588396675049578
62712,128.78753148684825,-66.9496014999984,10.603019000003156
62884,26.73925508666764,-66.92486899999987,10.602457000000628
74186,776.3083911635798,-66.98429296265385,10.440001550390612
