product,radius_m,native_flags,native_P,native_R,native_F1,centroid_flags,centroid_P,centroid_R,centroid_F1,dP,dR,dF1
Microsoft,10,7949,0.123,0.613,0.204,9138,0.081,0.474,0.139,0.042,0.139,0.065
Microsoft,20,7949,0.176,0.703,0.282,9138,0.138,0.622,0.226,0.038,0.081,0.056
Microsoft,30,7949,0.218,0.775,0.34,9138,0.184,0.708,0.292,0.034,0.067,0.048
IMPACT,10,10787,0.104,0.627,0.178,10788,0.069,0.462,0.12,0.035,0.165,0.058
IMPACT,20,10787,0.179,0.702,0.285,10788,0.133,0.627,0.219,0.046,0.075,0.066
IMPACT,30,10787,0.252,0.77,0.379,10788,0.205,0.712,0.318,0.047,0.058,0.061
OSU,10,25892,0.068,0.865,0.126,25882,0.045,0.688,0.084,0.023,0.177,0.042
OSU,20,25892,0.118,0.914,0.209,25882,0.087,0.86,0.159,0.031,0.054,0.05
OSU,30,25892,0.17,0.935,0.288,25882,0.137,0.913,0.239,0.033,0.022,0.049
UH,10,5726,0.12,0.456,0.19,5362,0.093,0.337,0.146,0.027,0.119,0.044
UH,20,5726,0.176,0.503,0.261,5362,0.148,0.437,0.221,0.028,0.066,0.04
UH,30,5726,0.217,0.563,0.314,5362,0.197,0.506,0.284,0.02,0.057,0.03
LIST,10,15906,0.086,0.755,0.154,15904,0.057,0.564,0.103,0.029,0.191,0.051
LIST,20,15906,0.149,0.864,0.255,15904,0.111,0.766,0.194,0.038,0.098,0.061
LIST,30,15906,0.211,0.909,0.342,15904,0.172,0.861,0.286,0.039,0.048,0.056
UNEP,10,6887,0.127,0.426,0.196,5605,0.086,0.313,0.135,0.041,0.113,0.061
UNEP,20,6887,0.186,0.536,0.277,5605,0.143,0.451,0.217,0.043,0.085,0.06
UNEP,30,6887,0.223,0.625,0.329,5605,0.188,0.562,0.281,0.035,0.063,0.048
